Date,Indian rupee (INR)
1979-01-01,0.0
1979-01-02,1792.85
1979-01-03,1802.15
1979-01-04,1811.74
1979-01-05,1843.57
1979-01-08,1841.33
1979-01-09,1822.52
1979-01-10,1803.5
1979-01-11,1814.57
1979-01-12,1782.62
1979-01-15,1782.01
1979-01-16,1796.52
1979-01-17,1842.06
1979-01-18,1861.74
1979-01-19,1940.75
1979-01-22,1886.87
1979-01-23,1895.37
1979-01-24,1926.08
1979-01-25,1937.79
1979-01-26,1929.26
1979-01-29,1886.95
1979-01-30,1921.57
1979-01-31,1840.82
1979-02-01,1927.14
1979-02-02,1907.37
1979-02-05,1971.85
1979-02-06,1996.78
1979-02-07,2030.96
1979-02-08,2081.04
1979-02-09,2000.87
1979-02-12,2046.37
1979-02-13,2000.6
1979-02-14,1946.67
1979-02-15,2008.3
1979-02-16,2016.69
1979-02-19,2047.39
1979-02-20,2032.39
1979-02-21,2039.17
1979-02-22,2052.67
1979-02-23,2041.96
1979-02-26,2034.48
1979-02-27,2012.67
1979-02-28,2011.68
1979-03-01,2023.86
1979-03-02,2020.48
1979-03-05,1972.05
1979-03-06,1941.23
1979-03-07,1953.97
1979-03-08,1919.78
1979-03-09,1938.05
1979-03-12,1939.69
1979-03-13,1963.4
1979-03-14,1969.91
1979-03-15,1970.06
1979-03-16,1972.92
1979-03-19,2016.94
1979-03-20,1991.55
1979-03-21,1977.71
1979-03-22,1997.98
1979-03-23,1987.49
1979-03-26,1989.92
1979-03-27,2006.21
1979-03-28,1988.91
1979-03-29,1966.02
1979-03-30,1940.16
1979-04-02,1948.09
1979-04-03,1942.59
1979-04-04,1940.84
1979-04-05,1939.47
1979-04-06,1922.7
1979-04-09,1957.59
1979-04-10,1946.32
1979-04-11,1956.22
1979-04-12,1917.55
1979-04-13,1917.55
1979-04-16,1917.55
1979-04-17,1897.5
1979-04-18,1931.54
1979-04-19,1980.31
1979-04-20,1965.59
1979-04-23,1953.91
1979-04-24,1982.11
1979-04-25,2020.73
1979-04-26,2025.1
1979-04-27,2016.6
1979-04-30,2013.1
1979-05-01,2044.71
1979-05-02,2036.12
1979-05-03,2019.55
1979-05-04,2034.54
1979-05-07,2034.54
1979-05-08,2065.99
1979-05-09,2039.57
1979-05-10,2096.63
1979-05-11,2103.3
1979-05-14,2089.98
1979-05-15,2066.64
1979-05-16,2090.69
1979-05-17,2107.23
1979-05-18,2115.46
1979-05-21,2148.92
1979-05-22,2181.38
1979-05-23,2154.46
1979-05-24,2155.38
1979-05-25,2215.71
1979-05-28,2215.71
1979-05-29,2259.99
1979-05-30,2228.63
1979-05-31,2253.41
1979-06-01,2244.73
1979-06-04,2215.48
1979-06-05,2230.97
1979-06-06,2277.73
1979-06-07,2275.69
1979-06-08,2262.95
1979-06-11,2297.86
1979-06-12,2244.19
1979-06-13,2208.46
1979-06-14,2238.78
1979-06-15,2257.8
1979-06-18,2263.05
1979-06-19,2238.92
1979-06-20,2240.93
1979-06-21,2232.8
1979-06-22,2274.3
1979-06-25,2275.74
1979-06-26,2263.2
